ISBN,AvgBookRating,NumberOfRating,BookTitle,BookAuthor,YearOfPublication,Publisher,new_score
0060529709,2.098360655737705,61,Everything Is Illuminated : A Novel,Jonathan Safran Foer,2003,Perennial,1.3872602659586732
0743235150,3.7872340425531914,94,Everything's Eventual : 14 Dark Tales,Stephen King,2002,Scribner,1.7940018443348267
0446604232,2.076923076923077,91,Exclusive,Sandra Brown,1997,Warner Books,1.3417587512492632
0425158632,1.7739130434782608,115,Executive Orders (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group,1.2292009072316057
0553295772,2.425,80,Extreme Measures,Michael Palmer,1992,Bantam Books,1.4409257687111476
0425132048,3.0588235294117645,85,Eyes of Prey,John Sandford,2004,Berkley Publishing Group,1.5981786766498962
0345386132,1.930232558139535,86,Eyes of a Child,Richard North Patterson,1996,Ballantine Books,1.3101723535318275
0451151259,3.107843137254902,102,Eyes of the Dragon,Stephen King,1988,Penguin Putnam~mass,1.6150353710887715
0553284789,2.5527950310559007,161,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Bantam,1.4428967933548396
0671797050,1.9594594594594594,74,FIRST WIVES CLUB,Olivia Goldsmith,1993,Pocket,1.3353203328902765
0671000314,1.7121212121212122,66,FLOOD TIDE,Clive Cussler,1998,Pocket Books,1.2933095026283024
0671894455,2.65,140,FORREST GUMP (Movie Tie in),Winston Groom,1994,Pocket,1.4788966614643557
0684195984,3.391891891891892,74,FROM POTTER'S FIELD,Patricia Cornwell,1995,Scribner,1.6748310993037758
051513287X,2.9746835443037973,237,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books,1.590462480860127
0345342968,4.40809968847352,321,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,2.183182532278522
0312983824,2.6029411764705883,136,Faking It,Jennifer Crusie,2003,St. Martin's Paperbacks,1.4649997501837893
0743237188,3.387323943661972,284,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone,1.758365313428889
0671642561,2.018867924528302,53,Fallen Hearts,V.C. Andrews,1988,Pocket,1.3848318877342682
0452283205,3.8702290076335877,131,Falling Angels,Tracy Chevalier,2002,Plume Books,1.856324918131143
0140265988,3.490566037735849,53,Falling Leaves Brit Edition,Adeline Yen Mah,0,Penguin Putnam~trade,1.6766939362318147
0767903579,3.0163934426229506,61,Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,1999,Broadway Books,1.5838970315133767
0553580221,2.7096774193548385,186,False Memory,Dean R. Koontz,2000,Bantam Books,1.4929044809470053
0451199685,2.0350877192982457,57,False Pretenses,Catherine Coulter,2004,Signet Book,1.3806943534976774
0440124344,1.178082191780822,73,Family Album,Danielle Steel,1989,Dell,1.1529884086001339
0449215296,2.629032258064516,62,Family: The Ties That Bind and Gag,Erma Bombeck,1991,Fawcett Books,1.5003507830849978
0684801469,2.53125,64,Farewell To Arms,Ernest Hemingway,1995,Scribner,1.4777332343178564
0553272586,2.490566037735849,53,Farewell to Manzanar: A True Story of Japanese American Experience During and  After the World War II Internment,Jeanne W. Houston,1983,Bantam Books,1.4783774160988665
0452283027,2.3508771929824563,57,Farm Fatale: A Comedy of Country Manors,Wendy Holden,2002,Plume Books,1.4458883070455604
0060938455,4.037383177570093,321,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,2.0319872413281765
0312980159,2.6,155,Fast Women,Jennifer Crusie,2002,St. Martin's Press,1.4597877952480243
0446605581,1.5393258426966292,89,Fat Tuesday,Sandra Brown,1998,Warner Vision,1.2045045825767264
0425145638,1.6736842105263159,95,Fatal Cure,Robin Cook,1997,Berkley Publishing Group,1.229334803297898
0671028375,3.0074074074074075,135,Fatal Voyage,Kathy Reichs,2002,Pocket,1.5912404483485343
0425097722,2.6451612903225805,62,Fatherhood,Bill Cosby,1994,Berkley Publishing Group,1.5038358345046348
0553579754,3.051282051282051,156,Fear Nothing,DEAN KOONTZ,1998,Bantam,1.6081373626756479
0679785892,5.385964912280702,57,Fear and Loathing in Las Vegas : A Savage Journey to the Heart of the American Dream,HUNTER S. THOMPSON,1998,Vintage Books,2.072474638366878
0345334531,2.5730337078651684,89,Feast of All Saints,Anne Rice,1986,Ballantine Books,1.4728640050227824
0312979886,1.6274509803921569,51,Female Intelligence,Jane Heller,2002,St. Martin's Paperbacks,1.3127507761759838
0805062971,4.775280898876405,89,Fight Club,Chuck Palahniuk,1999,Owl Books,2.04458625284264
0553582135,2.5197368421052633,152,Final Target,Iris Johansen,2002,Bantam Books,1.4342370770651895
0446530077,3.211764705882353,85,Find Me,Rosie O'Donnell,2002,Warner Books,1.6370146473493246
0061092614,3.326923076923077,52,Finding Moon,Tony Hillerman,1996,HarperTorch,1.643431982678865
0515120871,2.0615384615384613,65,Finding the Dream,Nora Roberts,1997,Jove Books,1.37292380895019
0440200563,1.8461538461538463,91,Fine Things,Danielle Steel,1988,Dell,1.2812133367289344
1573229725,2.697674418604651,86,Fingersmith,Sarah Waters,2002,Riverhead Books,1.5061537752863503
0425190641,3.0,56,Fire Ice: A Novel from the Numa Files (Kurt Austin Adventures (Paperback)),Clive Cussler,2003,Berkley Publishing Group,1.5797756039577269
0553573209,1.948051948051948,77,Firefly Beach,Luanne Rice,2001,Bantam Books,1.3279106289627571
0440204194,2.4065934065934065,91,Firefly Summer,Maeve Binchy,1989,Dell,1.4282522005640188
0451167805,3.5454545454545454,66,Firestarter,Stephen King,2003,Signet Book,1.7028311045954647
0380725827,2.963636363636364,55,Firestorm (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon,1.5722916958458306
0440222842,2.0136986301369864,73,Five Days in Paris,DANIELLE STEEL,1997,Dell,1.3496738884587376
0060198133,3.912280701754386,57,Five Quarters of the Orange,Joanne Harris,2001,William Morrow &amp; Company,1.7682361884767583
034545104X,2.933333333333333,60,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books,1.5661113474707407
034541389X,2.4943181818181817,176,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books,1.4197026871183775
0671729411,4.04054054054054,74,Flowers In The Attic (Dollanganger),V.C. Andrews,1990,Pocket,1.8285718237174358
0553274503,3.8181818181818183,99,Flowers for Algernon (Bantam Classic),DANIEL KEYES,1984,Bantam,1.8081055883046633
0380978415,3.586206896551724,58,"Fluke : Or, I Know Why the Winged Whale Sings",Christopher Moore,2003,William Morrow &amp; Company,1.7021970297916913
0553581023,2.1333333333333333,60,Follow the Stars Home,Luanne Rice,2001,Bantam Books,1.3962780071407794
0380820447,2.452054794520548,73,"For Better, for Worse: A Novel",Carole Matthews,2002,Avon Trade,1.4528531565812839
1551660717,1.8333333333333333,72,Forbidden Fruit,Erica Spindler,1996,Mira,1.3090345967684909
067101420X,2.519607843137255,102,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket,1.45234278891338
0440226414,1.2096774193548387,62,Fortune's Hand,Belva Plain,2000,Dell Publishing Company,1.193666258156943
0316678104,3.074468085106383,94,Fortune's Rocks : A Novel,Anita Shreve,2001,Back Bay Books,1.6041256161514266
0316781010,2.7333333333333334,120,Fortune's Rocks: A Novel,Anita Shreve,1999,Back Bay Books,1.5080853963065994
0345368754,2.3333333333333335,138,Foucault's Pendulum,Umberto Eco,1990,Ballantine Books,1.3797948544963285
0446613266,3.0,113,Four Blind Mice,James Patterson,2003,Warner Books,1.586461852377934
080213825X,2.7222222222222223,108,Four Blondes,Candace Bushnell,2001,Grove Press,1.5070825804637165
0451170385,2.970873786407767,103,Four Past Midnight,Stephen King,2001,Signet Book,1.5772317666745008
0312966970,3.7244444444444444,225,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,1.8679030749922416
0767913000,2.6166666666666667,60,Fourplay: A Novel,Jane Moore,2002,Broadway Books,1.4988856502567978
0345402308,1.6603773584905661,53,Fourth Procedure,STANLEY POTTINGER,1995,Ballantine Books,1.3137372861771737
0553212478,3.303030303030303,66,Frankenstein (Changing Our World),Mary Wollstonecraft Shelley,1984,Bantam,1.6486794878064186
0316769495,3.1639344262295084,61,Franny and Zooey,J.D. Salinger,1991,"Little, Brown",1.6154993688346684
1844262553,7.962962962962963,54,Free,Paul Vincent,2003,Upfront Publishing,2.574042681815674
0446364266,2.107142857142857,56,French Silk,Sandra Brown,1993,Warner Books,1.3972292163165698
034530988X,3.588235294117647,51,Friday,Robert Heinlein,1988,Del Rey Books,1.6933343160418441
0804115613,3.2916666666666665,72,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,2000,Ballantine Books,1.6498766234116489
0425154092,3.296943231441048,229,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group,1.7100608584444605
0743417682,3.303370786516854,89,From a Buick 8,Stephen King,2003,Pocket Books,1.6624657708814086
0743211375,3.3076923076923075,130,From a Buick 8 : A Novel,Stephen King,2002,Scribner,1.6827841811504989
0553582747,3.4909090909090907,165,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,1.7571490837068318
0312983301,3.7096774193548385,62,Full Blast (Janet Evanovich's Full Series),Janet Evanovich,2004,St. Martin's Paperbacks,1.7338492282006763
0312983271,3.0428015564202333,257,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks,1.6186516593015496
0312983298,3.011111111111111,90,Full Speed (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks,1.58672425520311
031298328X,2.189542483660131,153,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks,1.326049737191904
0449219364,2.807017543859649,171,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991,Fawcett Books,1.5272523464473138
067164257X,2.3292682926829267,82,GARDEN OF SHADOWS (Dollanger Saga (Paperback)),Ariel Jennifer Jones,1987,Pocket,1.4155363095359954
0440127793,3.4078947368421053,76,Galapagos,"Kurt, Jr. Vonnegut",1986,Dell,1.6801766440437125
0140280553,3.1566265060240966,83,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000,Penguin Books,1.6223205716393916
1565122968,2.78494623655914,93,Gap Creek: A Novel,Robert Morgan,2000,Algonquin Books of Chapel Hill,1.5271692314809835
0743203631,3.4173228346456694,127,Gap Creek: The Story Of A Marriage,Robert Morgan,2000,Touchstone,1.7148775450655283
074322535X,3.1704545454545454,88,Gap Creek: The Story of a Marriage,Robert Morgan,2001,Touchstone,1.6276048256898932
0671670646,1.537037037037037,54,Gates of Paradise,V.C. Andrews,1989,Pocket,1.286371219090337
0446391301,4.0875,80,Geek Love,Katherine Dunn,1993,Warner Books,1.850709083339667
031205436X,3.656716417910448,67,Generation X: Tales for an Accelerated Culture,Douglas Coupland,1992,St. Martin's Press,1.7289691067764157
0553290789,1.8356164383561644,73,Genuine Lies,Nora Roberts,1999,Bantam,1.307757310783953
0451176464,3.630434782608696,138,Gerald's Game,Stephen King,2001,Signet Book,1.787354573755124
0440209803,1.736842105263158,57,Get Shorty,Elmore Leonard,1991,Dell,1.3191222862580105
006098824X,2.775,80,Getting Over It,Anna Maxted,2001,Regan Books,1.5271959402118886
1551668653,2.466666666666667,75,Getting Rid Of Bradley,Jennifer Crusie,2001,Mira,1.4547909817232207
0679732411,4.310344827586207,58,Gift from the Sea,Anne Morrow Lindbergh,1991,Pantheon Books,1.853121163669507
052594527X,4.212121212121212,66,Girl With a Pearl Earring,Tracy Chevalier,1999,Dutton Books,1.8517480507653419
014029628X,3.2931937172774868,191,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books,1.6986045584225462
0452282152,4.218631178707224,526,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,2.176835471567399
0679746048,3.450199203187251,251,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage,1.7740649384984584
1885171080,2.0,62,"Girlfriends: Invisible Bonds, Enduring Ties",Carmen Renee Berry,1995,Wildcat Canyon Press,1.3644337777191553
1551669498,2.3,70,Girls Night,Stef Ann Holm,2002,Mira,1.4202249746947473
0425150984,3.3461538461538463,52,Glory in Death,J. D. Robb,2004,Berkley Publishing Group,1.6472054489642693
0689817851,4.7701149425287355,87,Go Ask Alice,Anonymous,1998,Simon Pulse,2.038035746483743
060980619X,3.0307692307692307,65,God Save the Sweet Potato Queens,JILL CONNER BROWNE,2001,Three Rivers Press,1.5876874345900573
0671749412,1.6333333333333333,60,Going Home,Danielle Steel,1991,Pocket,1.290132169434554
0553569031,2.272727272727273,88,Gone But Not Forgotten,PHILLIP M. MARGOLIN,1994,Bantam,1.3958026282127136
038533558X,4.1923076923076925,52,Gone For Good,HARLAN COBEN,2002,Delacorte Press,1.8132379655220578
0440236738,2.8210526315789473,95,Gone for Good,HARLAN COBEN,2003,Dell,1.536497256077328
0446365386,4.435294117647059,85,Gone with the Wind,Margaret Mitchell,1993,Warner Books,1.9477024129447533
0743225724,1.8846153846153846,52,Good Harbor: A Novel,Anita Diamant,2002,Scribner,1.360422011273544
0441003257,4.244047619047619,168,Good Omens,Neil Gaiman,1996,Ace Books,2.013144722204376
0743418174,4.040425531914893,470,Good in Bed,Jennifer Weiner,2002,Washington Square Press,2.082519493858346
0345298349,1.4390243902439024,82,Gorky Park,Martin Cruz Smith,1993,Ballantine Books,1.1934118022391413
0743407083,2.7205882352941178,68,Grand Avenue,Joy Fielding,2002,Pocket Star,1.517831082475206
0440224829,1.4556962025316456,79,Granny Dan,DANIELLE STEEL,2000,"Random House, Inc.",1.2042600461616717
0671028383,2.6375,80,Grave Secrets,Kathy Reichs,2003,Pocket Star,1.4933040871223118
0684859734,2.7636363636363637,55,Grave Secrets (Temperance Brennan Novel (Hardcover)),Kathy Reichs,2002,Scribner,1.5318053151892825
0671016776,2.983050847457627,59,Gravity : A Novel of Medical Suspense,Tess Gerritsen,2000,Pocket,1.5765768154194273
0679723110,4.2407407407407405,54,Grendel,John Champlin Gardner,1989,Vintage Books USA,1.8281580593148303
0877017883,6.041666666666667,72,Griffin &amp; Sabine: An Extraordinary Correspondence,Nick Bantock,1991,Chronicle Books,2.2926073022244613
1401088945,0.7352941176470589,68,Ground Zero and Beyond,J. P. McCarthy,2003,Xlibris Corporation,1.0673637475033895
0449223043,1.5737704918032787,61,Guardian,John Saul,1995,Fawcett Books,1.2748963999274139
0440213991,1.8135593220338984,59,Guardian Angel,Sara Paretsky,1996,Dell Publishing Company,1.3305544461563497
0441304834,4.311111111111111,90,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books,1.9260151215509849
0553564528,1.8958333333333333,144,Guilty as Sin,TAMI HOAG,1997,Bantam,1.2372236044751408
0393317552,4.522388059701493,67,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,1999,W. W. Norton &amp; Company,1.9238740539351686
0449219461,2.8785714285714286,140,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1993,Fawcett Books,1.5511202754888473
0553377876,3.3846153846153846,52,Half Asleep in Frog Pajamas,Tom Robbins,1995,Bantam,1.6547523815350778
0345433491,3.0933333333333333,75,Hanna's Daughters (Ballantine Reader's Circle),Marianne Fredriksson,1999,Ballantine Books,1.6043376369567097
0440224675,2.545774647887324,284,Hannibal,Thomas Harris,2000,Dell Publishing Company,1.425141124670969
0312983867,3.5555555555555554,162,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,1.7773154246465581
0440224705,2.6739130434782608,92,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000,Dell,1.4980606119583126
0425125467,2.1607142857142856,56,Harmful Intent,Robin Cook,2001,Berkley Publishing Group,1.4081819995750393
0439064872,4.72934472934473,351,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,2.33157299037235
0439139597,6.541237113402062,194,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,2.852225542191411
043935806X,5.57185628742515,334,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,2.6687016383368163
0439136369,5.345132743362832,226,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic,2.4713284995134632
0590353403,6.363095238095238,168,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,2.7295270672184273
059035342X,4.900175131348512,571,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,2.497913812581607
067155302X,2.0,51,Harvest,Tess Gerritsen,1997,Pocket,1.3850616487504972
1551667509,2.456140350877193,57,Haunted,Heather Graham,2003,Mira,1.4676196248948545
0440220424,3.4285714285714284,77,Having Our Say : The Delany Sisters' First 100 Years,SARAH L. DELANY,1994,Dell,1.685942219406925
0743456866,1.676056338028169,71,He Sees You When You're Sleeping : A Novel,Carol Higgins Clark,2002,Pocket,1.2743754647265222
0671534726,2.3137254901960786,51,Heart Song (Logan),V.C. Andrews,1997,Pocket,1.445955015129035
0515128554,3.011764705882353,170,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books,1.5967842282095803
0440211891,1.5316455696202531,79,Heartbeat,Danielle Steel,1992,Dell,1.2228638583159823
0671034006,3.4,75,Heartbreaker,Julie Garwood,2001,Pocket,1.6775200427092682
0671024248,3.184357541899441,179,Hearts In Atlantis,Stephen King,2000,Pocket,1.6574788270897072
0684853515,4.448275862068965,87,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner,1.95538838145268
0743436210,3.1124260355029585,169,Hearts in Atlantis,Stephen King,2001,Pocket,1.6307682577080889
0515132020,2.8666666666666667,210,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,1.548600139066258
0553296124,2.0,60,"Heir to the Empire (Star Wars: The Thrawn Trilogy, Vol. 1)",Timothy Zahn,1998,Bantam,1.3679724504191193
0515133302,2.5137614678899083,109,Hemlock Bay,Catherine Coulter,2002,Jove Books,1.4474916937744051
0425167313,2.2555066079295156,227,Here on Earth,Alice Hoffman,1998,Berkley Publishing Group,1.3216005203059593
0425169693,3.1686746987951806,83,Here on Earth (Oprah's Book Club),Alice Hoffman,1999,Berkley Publishing Group,1.6253446407207413
0425171396,1.881578947368421,76,"Hidden Agendas (Tom Clancy's Net Force, No. 2)",Tom Clancy,1999,Berkley Publishing Group,1.3134915075609612
0671873202,2.3137254901960786,51,Hidden Jewel (Landry),V.C. Andrews,1995,Pocket,1.445955015129035
0515116068,2.2545454545454544,55,Hidden Riches,Nora Roberts,2004,Jove Books,1.428749073518069
0446603716,2.2421875,128,Hide &amp; Seek,James Patterson,1996,Warner Books,1.3570892597010549
042513525X,2.5179856115107913,139,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group,1.4374968419902667
0553576925,1.9014084507042253,71,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,1.3266671310222724
1573228214,4.191780821917808,73,High Fidelity,Nick Hornby,2000,Riverhead Books,1.8623458769426393
0312971346,3.5323383084577116,201,High Five (A Stephanie Plum Novel),Janet Evanovich,2000,St. Martin's Paperbacks,1.7872422722115688
157322930X,2.7794117647058822,68,High Maintenance,Jennifer Belle,2002,Riverhead Books,1.531178262770667
067101417X,1.4426229508196722,61,High Tide,Jude Deveraux,2000,Pocket,1.2468054334195993
0061099694,1.6964285714285714,56,Hill Towns,Anne Rivers Siddons,1994,HarperTorch,1.3132578780016377
0679721037,4.346153846153846,52,Hiroshima,John Hersey,1989,Vintage Books USA,1.8434256958052915
0671527215,3.2318840579710146,69,Hitchhikers's Guide to the Galaxy,Douglas Adams,1984,Pocket,1.6343669207137617
0515120006,2.391891891891892,74,Holding the Dream (Dream Trilogy),Nora Roberts,2001,Jove Books,1.4378141491660499
0440414806,4.2727272727272725,154,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling,2.0079990470829077
0316779237,4.222222222222222,63,Holidays on Ice : Stories,David Sedaris,1998,Back Bay Books,1.8469878788322762
0515118230,2.607142857142857,56,Home Song,Lavyrle Spencer,1995,Jove Books,1.499455193395618
0515124893,1.930232558139535,86,Homeport,Nora Roberts,1999,Jove Books,1.3101723535318275
0061092045,1.0689655172413792,58,Honor Among Thieves,Jeffrey Archer,1994,HarperTorch,1.1775559929783317
0451210743,3.875,56,Hornet Flight,Ken Follett,2003,Signet Book,1.7586710638460608
0399142282,2.8484848484848486,66,Hornet's Nest,Patricia Daniels Cornwell,1997,Putnam Publishing Group,1.5471452063269566
0552143774,3.861111111111111,72,Horse Whisperer,Nicholas Evans,0,Bantam Doubleday Dell,1.7829673195294535
0312976275,3.06,200,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,1.6175484416337036
0553580272,4.134615384615385,52,"House Atreides (Dune: House Trilogy, Book 1)",Brian Herbert,2000,Spectra Books,1.801917566665845
0375703764,3.526315789473684,95,House of Leaves,Mark Z. Danielewski,2000,Pantheon Books,1.7253035343912897
0375727345,3.039855072463768,552,House of Sand and Fog,Andre Dubus III,2000,Vintage Books,1.6509194549411847
0451192001,1.872093023255814,86,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book,1.295325276126182
0671723650,1.830188679245283,53,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket,1.347413676388429
0452268060,3.2523364485981308,107,How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),Julia Alvarez,1992,Plume Books,1.6570793624441733
1573221937,3.6626506024096384,83,How to Be Good,Nick Hornby,2001,Riverhead Books,1.7493314730560752
0345370805,2.090909090909091,143,How to Make an American Quilt,Whitney Otto,1992,Ballantine Books,1.300202886033472
0061097861,3.984126984126984,63,Hunting Badger (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,2000,HarperCollins,1.7950995995092258
0425188787,3.4166666666666665,60,Hunting Season (Anna Pigeon Novels (Paperback)),Nevada Barr,2003,Berkley Publishing Group,1.6687189905867588
0312201656,3.640449438202247,89,I Capture the Castle,Dodie Smith,1999,St. Martin's Griffin,1.7499742782007748
0375713751,2.314814814814815,54,I Don't Know How She Does It,ALLISON PEARSON,2003,Knopf,1.4422277073740952
0375414053,3.1219512195121952,82,"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother",Allison Pearson,2002,Alfred A. Knopf,1.61331840507429
0449221512,2.567901234567901,162,I Is for Innocent,Sue Grafton,1994,Fawcett Books,1.4477151808529556
0060987561,3.2107438016528924,242,I Know This Much Is True,Wally Lamb,1999,Regan Books,1.6805082491281251
0060391626,3.6666666666666665,171,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books,1.8196807872800886
0553279378,3.137142857142857,175,I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,Bantam,1.6403629612378747
0671888587,1.9428571428571428,140,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,1.255454855576084
0553264079,1.5072463768115942,69,I'll Take Manhattan,Judith Krantz,1987,Bantam Books,1.2400535203033416
076790382X,4.3538461538461535,65,I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,Bill Bryson,2000,Broadway Books,1.8808568283206697
0553294385,3.807017543859649,57,"I, Robot",ISAAC ASIMOV,1991,Spectra,1.7465048706274642
0786866845,4.232142857142857,56,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen,2001,Miramax,1.8316896189025234
0345384350,2.3333333333333335,117,Icebound,Dean R. Koontz,1995,Ballantine Books,1.391100969190727
0142000205,3.3898916967509027,277,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,1.7576657960067286
0425158640,2.8636363636363638,66,Idoru,William Gibson,1997,Berkley Publishing Group,1.5505296823762722
0449149986,1.8135593220338984,59,If I'd Killed Him When I Met Him (Elizabeth MacPherson Novels (Paperback)),SHARYN MCCRUMB,1996,Fawcett,1.3305544461563497
0743406176,3.759259259259259,54,If Only It Were True,Marc Levy,2000,Atria,1.7316754713296465
0380723638,2.870967741935484,62,Ill Wind (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon Books,1.5526265543795528
3404148665,4.745762711864407,59,Illuminati.,Dan Brown,2003,LÃ?Â¼bbe,1.9473931401058053
0440343194,4.696428571428571,56,Illusions,Richard Bach,1981,Bantam Doubleday Dell,1.9266137404759252
0440204887,4.222222222222222,90,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1994,Dell Publishing Company,1.902815746074207
0425191583,2.7794117647058822,68,Imitation in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group,1.531178262770667
0451204301,1.984375,64,Impulse,Catherine Coulter,2001,Signet Book,1.3575482882801604
0679745580,2.8363636363636364,55,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage,1.546527635428027
0743418204,3.431654676258993,139,In Her Shoes : A Novel,Jennifer Weiner,2003,Washington Square Press,1.7253910086274975
0553575104,1.8481012658227849,79,In Pursuit of the Proper Sinner,Elizabeth George,2000,Bantam Books,1.3003797422922756
0679434046,2.087719298245614,57,In the Kitchen With Rosie: Oprah's Favorite Recipes,Rosie Daley,1994,Alfred A. Knopf,1.3915600124223249
0553576089,2.9523809523809526,63,In the Presence of the Enemy,ELIZABETH GEORGE,1997,Bantam,1.57025038910934
0671519816,2.4927536231884058,69,Inca Gold (Clive Cussler),Clive Cussler,1995,Pocket,1.46537546339501
0515124214,2.0377358490566038,106,Inner Harbor (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books,1.3149002214031764
0670855030,4.368421052631579,57,Insomnia,Stephen King,1994,Viking Books,1.8624052324903668
0345384369,3.314516129032258,124,Intensity,DEAN KOONTZ,1996,Ballantine Books,1.6823601263283767
0451180216,1.3846153846153846,52,Interest of Justice,Nancy Taylor Rosenberg,1994,Signet Book,1.2623118878530326
039592720X,4.874015748031496,127,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,2.157614610953062
0345337662,3.535573122529644,506,Interview with the Vampire,Anne Rice,1993,Ballantine Books,1.8668976391240641
0679457526,4.8,75,Into Thin Air : A Personal Account of the Mount Everest Disaster,JON KRAKAUER,1997,Villard,2.0116136341883393
0385492081,3.272727272727273,341,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor,1.7237520159412574
0385486804,4.229508196721311,244,Into the Wild,Jon Krakauer,1997,Anchor,2.0683534593244124
0425155404,2.3727272727272726,110,Invasion,Robin Cook,1997,Berkley Publishing Group,1.4067126448982532
0393319296,4.016393442622951,61,Invisible Monsters,Chuck Palahniuk,1999,W.W. Norton &amp; Company,1.7980906511354644
0373484003,2.467289719626168,107,Irish Hearts,Nora Roberts,2000,Silhouette,1.4352585557521989
0373243286,1.9397590361445782,83,"Irish Rebel (Special Edition, 1328)",Nora Roberts,2000,Silhouette,1.3168895944230812
0440224861,1.3793103448275863,58,Irresistible Forces,Danielle Steel,2000,Dell Publishing Company,1.242237764640253
0553375407,4.907407407407407,162,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam,2.2284557583390514
0440439884,3.8433734939759034,83,Island of the Blue Dolphins,SCOTT O'DELL,1971,Random House Children's Books,1.7946925092763193
0440940001,3.8222222222222224,90,Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978,Laure Leaf,1.798418556428707
039914739X,2.361111111111111,72,Isle of Dogs,Patricia Daniels Cornwell,2001,Putnam Publishing Group,1.4323869492679195
0451149513,3.30188679245283,53,It,Stephen King,1987,New Amer Library,1.6392757248859755
0804105820,3.392523364485981,107,It Was on Fire When I Lay Down on It,Robert Fulghum,1993,Ivy Books,1.6966902207820256
